horizon,horizon_role,name,strategy,condition_mode,threshold_mode,min_precision,threshold,pr_auc,roc_auc,precision,recall,f1,cv_roc_auc_mean,cv_pr_auc_mean,tn,fp,fn,tp,n_train,n_test,pos_train,pos_test
24,operational,LogisticRegression,class_weight=balanced,non_good,max_recall_min_precision,0.3,0.3685851542520997,0.4233674576180484,0.742283950617284,0.32558139534883723,0.7777777777777778,0.45901639344262296,0.7331783367612441,0.47584343010264873,68,58,8,28,645,162,153,36
48,operational,RidgeClassifier,calibrated+balanced,non_good,max_recall_min_precision,0.3,0.2139386801187487,0.22593272064631936,0.6710972850678734,0.23255813953488372,0.38461538461538464,0.2898550724637681,0.5496797575873276,0.25530253257806346,103,33,16,10,645,162,131,26
72,exploratory,LogisticRegression,class_weight=balanced,non_good,max_recall_min_precision,0.3,0.4323426819898459,0.2520763439563998,0.6239339019189766,0.21551724137931033,0.8928571428571429,0.3472222222222222,0.5870769838298762,0.24563130861670018,43,91,3,25,645,162,118,28
