horizon,horizon_role,name,strategy,condition_mode,threshold_mode,min_precision,threshold,pr_auc,roc_auc,precision,recall,f1,cv_roc_auc_mean,cv_pr_auc_mean,tn,fp,fn,tp,n_train,n_test,pos_train,pos_test
24,operational,LogisticRegression,class_weight=balanced,non_good,max_recall_min_precision,0.3,0.3685851542520997,0.4233674576180484,0.742283950617284,0.32558139534883723,0.7777777777777778,0.45901639344262296,0.7331783367612441,0.47584343010264873,68,58,8,28,645,162,153,36
24,operational,RidgeClassifier,calibrated+balanced,non_good,max_recall_min_precision,0.3,0.24176306994775792,0.4269030954165012,0.7466931216931217,0.4375,0.5833333333333334,0.5,0.7282714341611254,0.4825486152660951,99,27,15,21,645,162,153,36
24,operational,LinearSVC,calibrated+balanced,non_good,max_recall_min_precision,0.3,0.2417637323952663,0.4290015822343209,0.7471340388007055,0.4375,0.5833333333333334,0.5,0.7280167652307348,0.48238049915960185,99,27,15,21,645,162,153,36
24,operational,RandomForest,class_weight=balanced_subsample,non_good,max_recall_min_precision,0.3,0.18835269993594891,0.3599226536934623,0.6439594356261024,0.3287671232876712,0.6666666666666666,0.44036697247706424,0.7105981278857844,0.4037486357879093,77,49,12,24,645,162,153,36
24,operational,ExtraTrees,class_weight=balanced,non_good,max_recall_min_precision,0.3,0.27639898545420893,0.37905944538013264,0.6986331569664902,0.33766233766233766,0.7222222222222222,0.46017699115044247,0.7152917873431207,0.4353169878537747,75,51,10,26,645,162,153,36
24,operational,HistGradientBoosting,default,non_good,max_recall_min_precision,0.3,0.02041793338770443,0.33624093289897256,0.644620811287478,0.2926829268292683,0.6666666666666666,0.4067796610169492,0.6843356958934751,0.36131131067255373,68,58,12,24,645,162,153,36
24,operational,GradientBoosting,default,non_good,max_recall_min_precision,0.3,0.09564008280521656,0.3481266572678842,0.6614858906525574,0.3146067415730337,0.7777777777777778,0.448,0.6869274480787123,0.3954839056047869,65,61,8,28,645,162,153,36
24,operational,AdaBoost,default,non_good,max_recall_min_precision,0.3,0.4891530393705461,0.39494180158509995,0.7059082892416225,0.3333333333333333,0.7222222222222222,0.45614035087719296,0.6694310026365311,0.42477648727534545,74,52,10,26,645,162,153,36
24,operational,GaussianNB,default,non_good,max_recall_min_precision,0.3,0.21441207593750575,0.4149392099416369,0.730379188712522,0.35714285714285715,0.6944444444444444,0.4716981132075472,0.7060677268619118,0.4721877295917666,81,45,11,25,645,162,153,36
24,operational,XGBoost,scale_pos_weight=3.22,non_good,max_recall_min_precision,0.3,0.053899658471345924,0.34052924406627705,0.6247795414462081,0.2804878048780488,0.6388888888888888,0.3898305084745763,0.6848782290406874,0.3730552383127497,67,59,13,23,645,162,153,36
24,operational,LightGBM,scale_pos_weight=3.22,non_good,max_recall_min_precision,0.3,0.07205817394635772,0.3597679712152646,0.613536155202822,0.3448275862068966,0.5555555555555556,0.425531914893617,0.6726610254839862,0.3626886200067599,88,38,16,20,645,162,153,36
24,operational,CatBoost,"class_weights=[1.0,3.2]",non_good,max_recall_min_precision,0.3,0.034566321658243256,0.3009828088142828,0.6100088183421517,0.2777777777777778,0.6944444444444444,0.3968253968253968,0.6884298190130608,0.3775038457573285,61,65,11,25,645,162,153,36
48,operational,LogisticRegression,class_weight=balanced,non_good,max_recall_min_precision,0.3,0.6170539237026682,0.22455058676055017,0.6654411764705882,0.17647058823529413,0.11538461538461539,0.13953488372093023,0.6133415440772579,0.2998362461526315,122,14,23,3,645,162,131,26
48,operational,RidgeClassifier,calibrated+balanced,non_good,max_recall_min_precision,0.3,0.2139386801187487,0.22593272064631936,0.6710972850678734,0.23255813953488372,0.38461538461538464,0.2898550724637681,0.5496797575873276,0.25530253257806346,103,33,16,10,645,162,131,26
48,operational,LinearSVC,calibrated+balanced,non_good,max_recall_min_precision,0.3,0.2139201019393445,0.22593272064631936,0.6710972850678734,0.23255813953488372,0.38461538461538464,0.2898550724637681,0.5491015198230356,0.2551454022117322,103,33,16,10,645,162,131,26
48,operational,RandomForest,class_weight=balanced_subsample,non_good,max_recall_min_precision,0.3,0.5378579575152669,0.18602591375840832,0.5551470588235294,0.5,0.038461538461538464,0.07142857142857142,0.6016399911316734,0.2661135675828971,135,1,25,1,645,162,131,26
48,operational,ExtraTrees,class_weight=balanced,non_good,max_recall_min_precision,0.3,0.6417703780267485,0.1924332722693357,0.5760746606334842,0.5,0.038461538461538464,0.07142857142857142,0.6399586555420774,0.2871499418892943,135,1,25,1,645,162,131,26
48,operational,HistGradientBoosting,default,non_good,max_recall_min_precision,0.3,0.7740412909606266,0.1715689881730143,0.5545814479638009,0.0,0.0,0.0,0.5949547552286514,0.24890623733952671,131,5,26,0,645,162,131,26
48,operational,GradientBoosting,default,non_good,max_recall_min_precision,0.3,0.4394703112522783,0.2263582167220765,0.5947398190045249,0.2222222222222222,0.07692307692307693,0.11428571428571428,0.6318857083185762,0.3045363090228346,129,7,24,2,645,162,131,26
48,operational,AdaBoost,default,non_good,max_recall_min_precision,0.3,0.5019027440747268,0.22062048455905447,0.6020927601809954,0.4,0.07692307692307693,0.12903225806451613,0.5907672293843629,0.27743675938197565,133,3,24,2,645,162,131,26
48,operational,GaussianNB,default,non_good,max_recall_min_precision,0.3,0.2650668723320357,0.20684127850576206,0.6292420814479638,0.16666666666666666,0.23076923076923078,0.1935483870967742,0.6294141650123597,0.27947022849187275,106,30,20,6,645,162,131,26
