cluster_max_cat,length_bin,n_clusters,mean_cum_delta,median_cum_delta,q25_cum_delta,q75_cum_delta,mean_peak_delta,mean_peak_lag
emergencia,2,10,30.6,47.5,-44.0,114.74999999999999,22.166666666666664,4.3
emergencia,3,11,21.27272727272728,30.00000000000003,6.999999999999993,60.50000000000001,19.515151515151516,2.909090909090909
emergencia,4,2,-24.5,-24.5,-33.75,-15.25,5.5,2.5
emergencia,5+,4,31.999999999999986,31.999999999999986,-22.750000000000007,86.74999999999997,24.416666666666664,3.5
preemergencia,2,17,6.058823529411762,-23.000000000000014,-51.00000000000003,66.00000000000001,22.529411764705884,3.9411764705882355
preemergencia,3,5,-82.60000000000002,-104.00000000000003,-141.00000000000003,-7.0,-3.2666666666666693,3.4
preemergencia,4,4,-2.4999999999999964,8.500000000000002,-11.75,17.750000000000007,8.25,2.25
