Lag,N_clusters,Mean_delta_vs_baseline,Median_delta_vs_baseline,Bootstrap_95CI_low,Bootstrap_95CI_high
0,53,1.1635220125786159,0.3333333333333286,-3.176257861635221,5.440251572327043
1,53,-0.2704402515723275,-0.33333333333333304,-4.64182389937107,4.377830188679238
2,53,1.9559748427672952,3.0,-3.1383647798742134,6.993867924528299
3,53,-2.3081761006289314,-1.3333333333333286,-6.817610062893081,2.151257861635215
4,53,1.1257861635220123,-1.0,-4.182389937106917,6.786163522012579
5,53,3.314465408805031,0.6666666666666643,-1.8683962264150948,8.541666666666655
6,53,1.823899371069182,-2.0,-3.553459119496856,7.705031446540872
